"RK",TIERS,"PLAYER NAME",TEAM,"FANTASYPTS","YDS","TDS","REC","YDS","TDS","ATT","YDS","TDS"
"200",10,"Tua Tagovailoa",ATL,"175.7","2660","20","0","0","0","20","43","0"
"201",11,"Isaac TeSlaa",DET,"75.9","0","0","16","239","6","0","0","0"
"202",11,"Shedeur Sanders",CLE,"94.9","1400","7","0","0","0","21","169","1"
"203",11,"Cade Otton",TB,"122.2","0","0","59","572","1","0","0","0"
"204",11,"Deebo Samuel Sr.",FA,"188.2","0","0","72","727","5","17","75","1"
"205",11,"Kaleb Johnson",PIT,"8.8","0","0","1","9","0","28","69","0"
"206",11,"Tank Dell",HOU,"0","0","0","0","0","0","0","0","0"
"207",11,"Pat Freiermuth",PIT,"113.6","0","0","41","486","4","0","0","0"
"208",11,"Elijah Arroyo",SEA,"36.9","0","0","15","179","1","0","0","0"
"209",11,"Theo Johnson",NYG,"127.8","0","0","45","528","5","0","0","0"
"210",11,"Trey Benson",ARI,"35.4","0","0","13","64","0","29","160","0"
"211",11,"Geno Smith",NYJ,"190.9","3025","19","0","0","0","41","109","0"
"212",11,"Eli Raridon",NE,"0","0","0","0","0","0","0","0","0"
"213",11,"Alvin Kamara",NO,"100.7","0","0","33","186","0","131","471","1"
"214",11,"Elic Ayomanor",TEN,"116.5","0","0","41","515","4","0","0","0"
"215",11,"Ja'Kobi Lane",BAL,"0","0","0","0","0","0","0","0","0"
"216",11,"Tory Horton",SEA,"65.1","0","0","13","161","5","0","0","0"
"217",11,"Keon Coleman",BUF,"102.4","0","0","38","404","4","0","0","0"
"218",11,"Tyreek Hill",FA,"53.5","0","0","21","265","1","0","0","0"
"219",11,"Keaton Mitchell",LAC,"55.4","0","0","9","63","0","59","341","1"
"220",11,"Jack Bech",LV,"42.4","0","0","20","224","0","0","0","0"
"221",11,"Kimani Vidal",LAC,"117.9","0","0","16","136","1","155","643","3"
"222",11,"Demond Claiborne",MIN,"0","0","0","0","0","0","0","0","0"
"223",11,"Emanuel Wilson",SEA,"94.5","0","0","15","99","0","125","496","3"
