"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
"Ryan Flournoy","DAL","33.8","383.0","2.7","2.2","12.4","0.1","0.4","89.2"
"Jalen Tolbert","MIA","33.9","420.3","1.7","0.0","0.0","0.0","0.3","85.4"
"Isaac TeSlaa","DET","25.4","352.4","4.1","0.0","0.0","0.0","0.1","85.1"
"Malik Benson","LV","33.7","401.2","1.9","1.0","4.0","0.0","0.6","84.4"
"Ted Hurst III","TB","29.4","389.9","2.6","1.0","6.5","0.0","0.6","83.2"
"Hollywood Brown","PHI","28.2","349.4","3.0","0.0","0.0","0.0","0.1","81.1"
"Zachariah Branch","ATL","31.4","381.7","1.9","0.0","0.0","0.0","0.3","80.3"
"Andrei Iosivas","CIN","27.8","352.4","2.6","2.5","11.0","0.0","0.1","79.5"
"Elic Ayomanor","TEN","25.4","342.8","3.3","0.0","0.0","0.0","0.0","79.5"
"Chimere Dike","TEN","27.8","271.6","3.4","10.1","33.7","0.3","0.6","79.2"
"Keon Coleman","BUF","24.4","337.7","2.8","0.0","0.0","0.0","0.2","74.6"
"Pat Bryant","DEN","28.4","320.5","2.1","0.0","0.0","0.0","0.3","72.6"
"Olamide Zaccheaus","ATL","30.1","276.7","1.8","1.5","9.5","0.0","0.1","69.5"
"Marvin Mims Jr.","DEN","24.1","273.1","1.6","8.2","45.2","0.3","0.4","66.8"
"Jack Bech","LV","27.7","315.0","1.2","0.0","0.0","0.0","0.3","65.8"
"Ashton Dulin","IND","17.5","338.3","1.3","5.1","46.1","0.1","0.1","64.1"
"Darnell Mooney","NYG","21.4","309.0","1.7","2.2","11.9","0.1","0.2","63.6"
"KaVontae Turpin","DAL","18.1","229.5","1.7","17.8","103.2","0.4","0.4","63.5"
"DeMario Douglas","NE","22.7","270.9","1.5","4.1","21.4","0.2","0.3","61.3"
"Savion Williams","GB","20.5","230.8","1.7","9.0","46.9","0.3","0.3","59.8"
"Malachi Fields","NYG","23.0","279.9","1.5","0.0","0.0","0.0","0.2","59.7"
"Calvin Austin III","NYG","19.6","261.7","2.2","0.0","0.0","0.0","0.0","58.8"
"Jahdae Walker","CHI","17.6","233.3","2.7","0.5","3.5","0.0","0.0","57.2"
"Tutu Atwell","MIA","21.8","311.6","0.5","2.2","11.4","0.1","0.2","57.0"
"Cedric Tillman","CLE","18.5","235.6","2.1","0.0","-0.5","0.0","0.0","54.6"
"Demarcus Robinson","SF","17.6","253.0","1.7","0.5","2.5","0.0","0.0","53.1"
"Kendrick Bourne","ARI","22.8","239.2","0.7","0.0","0.0","0.0","0.2","50.2"
"Luke McCaffrey","WAS","14.4","221.1","2.3","0.0","0.0","0.0","0.0","49.9"
