"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Jam Miller","NE","34.0","145.0","1.0","2.0","25.0","0.0","0.0","25.0"
"Hunter Luepke","DAL","13.4","56.5","0.4","8.6","61.6","0.4","0.1","25.0"
"Audric Estime","NO","30.0","122.0","1.0","3.0","24.0","0.0","0.0","23.6"
"Salvon Ahmed","CHI","35.0","152.0","1.0","1.0","12.0","0.0","0.0","23.4"
"Jarquez Hunter","LAR","32.0","148.0","1.0","1.0","14.0","0.0","0.0","23.2"
"Seth McGowan","IND","22.3","96.4","1.2","3.2","27.3","0.1","0.0","23.1"
"Donovan Edwards","MIA","31.0","130.0","1.0","2.0","19.0","0.0","0.0","22.9"
"Carlos Washington Jr.","MIA","31.0","130.0","1.0","2.0","19.0","0.0","0.0","22.9"
"Kendre Miller","NO","29.4","119.9","1.3","1.8","10.9","0.0","0.0","22.4"
"Dameon Pierce","PHI","35.0","161.0","1.0","0.0","0.0","0.0","0.0","22.1"
"Kaytron Allen","WAS","23.6","110.9","0.7","3.0","25.7","0.1","0.0","21.5"
"Nicholas Singleton","TEN","20.3","83.7","0.6","4.3","30.2","0.2","0.1","19.7"
"Devin Neal","NO","22.5","90.0","1.0","2.5","17.5","0.0","0.0","19.3"
"Tahj Brooks","CIN","30.3","128.4","0.9","0.0","0.0","0.0","0.1","18.2"
"Demond Claiborne","MIN","14.2","59.3","0.4","4.5","29.4","0.2","0.1","16.7"
"Michael Burton","CLE","6.6","13.9","0.6","5.1","33.3","0.6","0.0","16.5"
"Alec Ingold","LAC","2.1","8.6","0.1","7.9","58.7","0.2","0.1","16.4"
"Isaac Guerendo","SF","16.5","80.0","0.5","2.0","18.5","0.0","0.0","14.9"
"Andrew Beck","NYJ","0.5","4.0","0.0","4.6","31.8","1.1","0.0","14.8"
"Trevor Etienne","CAR","12.3","52.4","0.3","4.1","29.3","0.1","0.1","14.8"
"Adam Prentice","DEN","4.1","17.4","0.1","4.1","29.9","0.2","0.0","10.5"
"Connor Heyward","LV","4.2","17.4","0.1","4.0","29.0","0.2","0.0","10.2"
"Max Bredeson","MIN","2.0","8.5","0.1","4.5","29.4","0.2","0.0","9.6"
