,RECEIVING,,,RUSHING,,,MISC,
Player,REC,YDS,TDS,ATT,YDS,TDS,FL,FPTS
Bryce Lance NO,16.4,204.3,0.9,0,0,0,0.2,25.7
Dont'e Thornton Jr. LV,15.1,210.5,0.8,0,0,0,0.2,25.2
Devontez Walker BAL,11.6,166.4,1.2,0,0,0,0.1,23.4
Odell Beckham Jr. NYG,14.3,175.8,1,0.5,2.7,0,0.1,23.4
Skyler Bell BUF,12.1,163.4,1,0,0,0,0.1,21.9
Malachi Fields NYG,13.2,157.5,0.9,0,0,0,0.1,20.9
Konata Mumpfield LAR,9.9,126.7,1.2,0,0,0,0.1,19.4
Brenen Thompson LAC,9.5,120.8,0.7,2.1,11.3,0.1,0.1,17.8
Mack Hollins NE,10.8,126.7,0.8,0,0,0,0.1,17.2
KeAndre Lambert-Smith LAC,9.6,120.8,0.9,0,0,0,0.1,17
Kyle Williams NE,6.4,91.5,0.6,4.1,22.3,0.2,0.1,15.6
Tez Johnson TB,6.6,77.8,0.6,4.4,23.2,0.2,0.1,14.9
Mitch Tinsley CIN,6.6,84,0.8,0,0,0,0.1,12.9
Kevin Coleman Jr. MIA,9.2,113.4,0.3,0,0,0,0.1,12.8
Xavier Smith LAR,7.2,89.3,0.7,0,0,0,0.1,12.7
Cyrus Allen KC,6.4,79.5,0.5,0,0,0,0.1,10.8
Greg Dortch DET,4.1,39.8,0.3,4.6,24,0.4,0.1,10
Anthony Gould IND,7,74.3,0.3,0,0,0,0.1,9.3
Bo Melton GB,2.9,37.6,0.3,4.5,26,0.1,0.1,8.6
Isaiah Bond CLE,2.8,36.6,0.2,4.3,23.5,0.1,0.1,7.9
Mason Tipton NO,3.3,37.5,0.2,4.3,23.6,0.2,0.1,7.8
Tyrell Shavers BUF,4,52.1,0.3,0,0,0,0,6.9
Derius Davis LAC,3.5,37.8,0.3,2.1,11,0.1,0.1,6.7
Ben Skowronek PIT,5.4,51,0.2,0,0,0,0,6.3
David Moore CAR,3.1,36.7,0.2,2.1,11.4,0.1,0.1,6.3
CJ Daniels LAR,3.4,42.8,0.3,0,0,0,0,6.3
Isaiah Williams NYJ,3.8,35.8,0.1,2.2,12.7,0.1,0.1,6.2
Colbie Young CIN,3.5,43.2,0.3,0,0,0,0,6.2
Zavion Thomas CHI,3.1,37.8,0.3,0,0,0,0,5.6
Malachi Corley CLE,0,0,0,6.4,43.8,0.2,0.1,5.5
Jonathan Mingo DAL,2.9,40.7,0.3,0,0,0,0,5.5
Justin Watson HOU,3.1,41.6,0.2,0,0,0,0,5.4
Darius Cooper PHI,3.3,37.6,0.3,0,0,0,0,5.2
Tai Felton MIN,3.7,37,0.2,0,0,0,0,5.1
Reggie Virgil ARI,3.4,39.3,0.1,0,0,0,0,4.7
Kaden Wetjen PIT,1.6,18.8,0.1,2.1,11.6,0.1,0,4
Arian Smith NYJ,0,0,0,4.3,23.6,0.2,0,3.4
Jimmy Horn Jr. CAR,0,0,0,4.1,24.7,0.1,0,3
Kameron Johnson TB,0,0,0,2.2,12.1,0.1,0,1.8
JuJu Smith-Schuster NYG,1.2,13,0.1,0,0,0,0,1.6
Braxton Berrios NYG,0,0,0,0,0,0,0,0
Devin Duvernay ARI,0,0,0,0,0,0,0,0
Mason Kinsey TEN,0,0,0,0,0,0,0,0
Michael Bandy DEN,0,0,0,0,0,0,0,0
Skyy Moore GB,0,0,0,0,0,0,0,0
Britain Covey PHI,0,0,0,0,0,0,0,0
Dareke Young LV,0,0,0,0,0,0,0,0
Jacob Cowing SF,0,0,0,0,0,0,0,0
Charlie Jones CIN,0,0,0,0,0,0,0,0
Barion Brown NO,0,0,0,0,0,0,0,0
Jalen Brooks ARI,0,0,0,0,0,0,0,0
Brycen Tremayne CAR,0,0,0,0,0,0,0,0
Nikko Remigio KC,0,0,0,0,0,0,0,0
Jeshaun Jones MIN,0,0,0,0,0,0,0,0
Efton Chism III NE,0,0,0,0,0,0,0,0
LaJohntay Wester BAL,0,0,0,0,0,0,0,0
Ke'Shawn Williams CIN,0,0,0,0,0,0,0,0
Myles Price MIN,0,0,0,0,0,0,0,0
Gage Larvadain CLE,0,0,0,0,0,0,0,0
Josh Cameron JAC,0,0,0,0,0,0,0,0
