"Rank","Player","TGT","TGT %","REC","YDS","Y/R","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"132","Zay Jones (LV)","20","3.9","14","154","11.0","1","1","0","0","0","0","16","36.6","2.3","1.0%"
"133","Bryan Edwards (LV)","15","3","11","193","17.5","5","1","0","0","0","0","12","36.3","3.0","0.0%"
"134","Bisi Johnson (MIN)","19","3.8","14","189","13.5","3","0","0","0","0","0","16","34.9","2.2","0.0%"
"135","Jeff Smith (NYJ)","37","7.9","17","167","9.8","1","0","0","0","0","0","12","33.7","2.8","0.0%"
"136","KeeSean Johnson (ARI)","23","4.4","15","173","11.5","2","0","0","0","0","0","8","32.3","4.0","0.0%"
"137","Ray-Ray McCloud III (PIT)","22","3.6","20","77","3.9","0","0","4","65","0","1","16","32.2","2.0","0.6%"
"138","Kenny Stills (HOU)","19","3.8","11","144","13.1","2","1","0","0","0","0","10","31.4","3.1","0.0%"
"139","Mike Thomas (CIN)","21","3.8","13","132","10.2","2","1","1","1","0","1","14","30.3","2.2","0.0%"
"140","Cameron Batson (TEN)","13","2.6","12","100","8.3","0","1","4","20","0","0","12","30.0","2.5","0.0%"
"141","Noah Brown (DAL)","24","4","14","154","11.0","1","0","1","4","0","0","16","29.8","1.9","0.7%"
"142","Brandon Powell (ATL)","18","3.1","12","69","5.8","0","2","2","7","0","1","15","29.6","2.0","1.4%"
"143","Jamal Agnew (DET)","20","3.9","13","89","6.8","1","0","6","33","0","1","14","29.2","2.1","0.0%"
"144","KhaDarel Hodge (CLE)","17","3.5","11","180","16.4","2","0","0","0","0","0","9","29.0","3.2","1.2%"
"144","Auden Tate (CIN)","22","4","14","150","10.7","0","0","0","0","0","0","9","29.0","3.2","0.0%"
"146","John Hightower (PHI)","29","5.3","10","167","16.7","2","0","1","1","0","0","13","28.8","2.2","1.0%"
"147","Kalif Raymond (TEN)","15","3.1","9","187","20.8","4","0","1","-3","0","0","15","27.4","1.8","1.2%"
"148","Christian Blake (ATL)","18","3","13","141","10.8","3","0","0","0","0","0","16","27.1","1.7","0.0%"
"149","Chris Hogan (NYJ)","26","5.5","14","118","8.4","1","0","0","0","0","0","5","25.8","5.2","0.0%"
"150","Gunner Olszewski (NE)","5","1.1","5","62","12.4","1","1","5","23","0","0","13","25.5","2.0","0.6%"
"151","Equanimeous St. Brown (GB)","13","2.6","7","117","16.7","3","1","1","7","0","0","12","25.4","2.1","0.0%"
"152","Malcolm Perry (MIA)","13","2.5","9","92","10.2","1","1","3","5","0","0","9","24.7","2.7","0.0%"
"153","Quez Watkins (PHI)","13","2.3","7","106","15.1","2","1","0","0","0","0","6","23.6","3.9","0.1%"
