"Rank","Player","TGT","TGT %","REC","YDS","Y/R","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"84","Sean McKeon (DAL)","6","1","4","27","6.8","0","1","0","0","0","0","5","12.7","2.5","0.0%"
"85","Luke Farrell (JAC)","11","1.9","7","56","8.0","1","0","0","0","0","0","9","12.6","1.4","0.6%"
"86","Tyree Jackson (PHI)","7","1.5","3","22","7.3","0","1","0","0","0","0","3","11.2","3.7","0.0%"
"87","Chris Myarick (NYG)","6","1.2","3","17","5.7","0","1","0","0","0","0","5","10.7","2.1","0.0%"
"88","Tre' McKitty (LAC)","8","1.5","6","45","7.5","0","0","0","0","0","0","6","10.5","1.8","0.0%"
"89","Charlie Woerner (SF)","6","1.2","5","52","10.4","1","0","0","0","0","0","8","10.2","1.3","0.1%"
"90","Parker Hesse (ATL)","6","1.1","5","43","8.6","0","0","0","0","0","0","4","9.3","2.3","0.0%"
"91","Colby Parkinson (SEA)","8","1.6","5","33","6.6","0","0","0","0","0","0","6","8.3","1.4","23.2%"
"91","Darren Fells (DET)","5","0.9","4","43","10.8","1","0","0","0","0","0","3","8.3","2.8","0.0%"
"93","Garrett Griffin (NO)","4","0.8","4","39","9.8","0","0","0","0","0","0","5","7.9","1.6","0.0%"
"94","Kendall Blanton (LAR)","7","1.2","4","37","9.3","1","0","0","0","0","0","4","7.7","1.9","0.0%"
"95","Tyler Davis (GB)","5","1","4","35","8.8","1","0","0","0","0","0","8","7.5","0.9","0.0%"
"96","Trevon Wesco (NYJ)","5","0.9","3","35","11.7","0","0","0","0","0","0","8","6.5","0.8","0.0%"
"97","Shane Zylstra (DET)","7","1.3","3","34","11.3","0","0","0","0","0","0","3","6.4","2.1","1.1%"
"98","Kaden Smith (NYG)","3","0.6","3","33","11.0","1","0","0","0","0","0","4","6.3","1.6","0.0%"
"99","Jack Stoll (PHI)","5","1","4","22","5.5","0","0","0","0","0","0","6","6.2","1.0","0.1%"
"100","Jeremy Sprinkle (DAL)","3","0.5","3","31","10.3","0","0","0","0","0","0","6","6.1","1.0","0.0%"
"100","Tommy Hudson (TEN)","6","1.2","3","31","10.3","0","0","0","0","0","0","4","6.1","1.5","0.0%"
"102","Kenny Yeboah (NYJ)","3","0.5","2","36","18.0","1","0","0","0","0","0","3","5.6","1.9","0.0%"
"103","Dominique Dafney (GB)","4","0.8","2","34","17.0","1","0","0","0","0","0","6","5.4","0.9","0.0%"
"104","Daniel Brown (NYJ)","2","0.3","2","29","14.5","1","0","0","0","0","0","3","4.9","1.6","0.0%"
"105","Mitchell Wilcox (CIN)","5","0.9","3","16","5.3","0","0","0","0","0","0","4","4.6","1.2","0.0%"
"106","Demetrius Harris (ARI)","6","1.1","3","10","3.3","0","0","0","0","0","0","10","4.0","0.4","0.0%"
"107","Cethan Carter (MIA)","2","0.4","2","16","8.0","0","0","0","0","0","0","9","3.6","0.4","0.0%"
"108","Derek Carrier (LV)","2","0.3","2","13","6.5","0","0","0","0","0","0","2","3.3","1.7","0.0%"
"109","Luke Stocker (MIN)","2","0.4","2","12","6.0","0","0","0","0","0","0","6","3.2","0.5","4.6%"
"110","Richard Rodgers (PHI)","2","0.4","2","11","5.5","0","0","0","0","0","0","1","3.1","3.1","0.0%"
"111","Kevin Rader (PIT)","3","0.5","2","8","4.0","0","0","0","0","0","0","3","2.8","0.9","0.0%"
"111","Ethan Wolf (NO)","2","0.4","2","8","4.0","0","0","0","0","0","0","1","2.8","2.8","0.0%"
"113","Johnny Mundt (LAR)","1","0.2","1","9","9.0","0","0","0","0","0","0","3","1.9","0.6","0.1%"
"113","Brycen Hopkins (LAR)","1","0.2","1","9","9.0","0","0","0","0","0","0","1","1.9","1.9","0.0%"
"115","Hunter Long (MIA)","3","0.6","1","8","8.0","0","0","0","0","0","0","3","1.8","0.6","0.6%"
"116","Eric Tomlinson (BAL)","2","0.4","1","7","7.0","0","0","0","0","0","0","7","1.7","0.2","0.0%"
"117","Nick Boyle (BAL)","2","0.4","1","2","2.0","0","0","0","0","0","0","2","1.2","0.6","0.0%"
"118","Deon Yelder (TB)","1","0.1","1","0","0.0","0","0","0","0","0","0","2","1.0","0.5","0.0%"
"118","Darrell Daniels (ARI)","4","0.8","1","0","0.0","0","0","0","0","0","0","10","1.0","0.1","0.0%"
"120","Daniel Helm (LV)","2","0.4","1","-1","-1.0","0","0","0","0","0","0","3","0.9","0.3","0.0%"
"121","Andrew Beck (DEN)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.2%"
"121","Codey McElroy (TB)","1","0.1","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"121","N'Keal Harry (NE)","22","4.3","12","184","15.3","3","0","0","0","0","1","10","0.0","0.0","0.0%"
"121","Giovanni Ricci (CAR)","2","0.4","0","0","0","0","0","0","0","0","0","9","0.0","0.0","0.0%"
"121","Rashod Berry (DET)","0","0","0","0","0","0","0","0","0","0","0","4","0.0","0.0","1.0%"
"121","Noah Togiai (PHI)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"121","Farrod Green (IND)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"121","Ben Ellefson (MIN)","1","0.2","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"121","Matt Orzech (LAR)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"121","Jared Pinkney (DET)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"121","Antonio Gandy-Golden (WAS)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"121","Stephen Sullivan (CAR)","1","0.2","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"121","Feleipe Franks (ATL)","0","0","0","0","0","0","0","3","6","0","0","6","0.0","0.0","0.0%"
"121","J.P. Holtz (CHI)","0","0","0","0","0","0","0","0","0","0","0","5","0.0","0.0","0.0%"
"121","Colin Thompson (CAR)","1","0.2","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"121","Miller Forristall (CLE)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"121","Sammis Reyes (WAS)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"121","Clark Harris (CIN)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"121","Andrew DePaola (MIN)","0","0","0","0","0","0","0","0","0","0","0","5","0.0","0.0","0.0%"
"121","Patrick Scales (CHI)","0","0","0","0","0","0","0","0","0","0","0","5","0.0","0.0","0.0%"
"121","James Winchester (KC)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"121","Jacob Harris (LAR)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"121","Briley Moore (TEN)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"121","Nick Ralston (DAL)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"121","Jake Hausmann (NYG)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
""
""
