"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","TGT","REC","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"82","JaMycal Hasty (SF)","16","68","4.3","21","1","1","29","23","157","6.8","0","1","11","49.5","4.5","1.1%"
"83","Chris Carson (SEA)","54","232","4.3","33","2","3","6","6","29","4.8","0","1","4","48.1","12.0","0.3%"
"84","Carlos Hyde (JAC)","72","253","3.5","18","0","1","22","12","65","5.4","0","2","12","45.8","3.8","0.0%"
"85","Phillip Lindsay (MIA)","88","249","2.8","35","1","1","5","4","45","11.3","1","0","14","45.4","3.2","0.0%"
"86","Matt Breida (BUF)","26","125","4.8","28","1","1","9","7","72","10.3","2","1","7","42.7","6.1","0.0%"
"87","Ty'Son Williams (BAL)","35","185","5.3","35","2","1","12","9","84","9.3","0","0","8","41.9","5.2","1.2%"
"88","Salvon Ahmed (MIA)","54","149","2.8","16","0","0","19","12","117","9.8","0","0","11","38.6","3.5","0.0%"
"89","Le'Veon Bell (TB)","39","101","2.6","12","0","2","7","5","30","6.0","1","0","8","38.1","4.8","0.2%"
"90","Ke'Shawn Vaughn (TB)","36","180","5.0","55","1","2","8","4","26","6.5","0","0","6","36.6","6.1","0.0%"
"91","Elijhaa Penny (NYG)","24","99","4.1","12","0","1","13","9","30","3.3","1","0","13","35.9","2.8","0.0%"
"91","Jerick McKinnon (KC)","12","62","5.2","18","0","0","20","13","107","8.2","1","0","9","35.9","4.0","0.0%"
"93","Craig Reynolds (DET)","55","230","4.2","35","2","0","8","7","52","7.4","0","0","5","35.2","7.0","1.1%"
"94","Royce Freeman (HOU)","56","169","3.0","13","0","0","16","10","77","7.7","0","0","12","34.6","2.9","0.0%"
"95","C.J. Ham (MIN)","7","34","4.9","30","1","0","18","17","125","7.4","0","0","15","32.9","2.2","1.0%"
"96","James White (NE)","10","38","3.8","10","0","1","14","12","94","7.8","0","0","3","31.2","10.4","0.1%"
"97","Ty Montgomery II (NO)","15","44","2.9","9","0","0","26","16","95","5.9","0","0","14","29.9","2.1","0.0%"
"98","Corey Clement (DAL)","33","140","4.2","38","1","0","7","6","29","4.8","1","0","11","28.9","2.6","0.0%"
"99","Trey Sermon (SF)","41","167","4.1","16","0","1","4","3","26","8.7","0","0","6","28.3","4.7","1.0%"
"100","Eno Benjamin (ARI)","34","118","3.5","21","1","1","7","6","42","7.0","0","0","8","28.0","3.5","0.0%"
"101","Godwin Igwebuike (DET)","18","118","6.6","42","1","1","10","7","60","8.6","0","2","15","26.8","1.8","0.0%"
"102","Adrian Peterson (SEA)","38","98","2.6","16","0","2","4","4","8","2.0","0","0","4","26.6","6.7","1.9%"
"103","Jermar Jefferson (DET)","15","74","4.9","28","1","2","5","4","23","5.8","0","0","5","25.7","5.1","0.6%"
"104","Alec Ingold (LV)","2","1","0.5","1","0","0","12","10","85","8.5","1","0","7","24.6","3.5","0.6%"
"105","Jalen Richard (LV)","9","40","4.4","23","1","0","14","12","72","6.0","0","0","9","23.2","2.6","1.0%"
"106","Kene Nwangwu (MIN)","13","61","4.7","19","0","0","5","4","9","2.3","0","0","9","23.0","2.6","0.1%"
"107","Malcolm Brown (MIA)","33","125","3.8","24","1","1","5","3","10","3.3","0","0","6","22.5","3.8","0.0%"
"108","Tony Jones Jr. (NO)","54","142","2.6","11","0","0","8","5","29","5.8","0","0","10","22.1","2.2","0.0%"
"109","Jonathan Williams (WAS)","17","79","4.6","23","1","1","6","4","28","7.0","0","0","5","20.7","4.1","0.0%"
"109","Patrick Ricard (BAL)","2","4","2.0","2","0","0","13","8","63","7.9","1","0","8","20.7","2.6","0.8%"
"111","Qadree Ollison (ATL)","21","105","5.0","19","0","1","6","4","12","3.0","0","1","6","19.7","3.3","0.0%"
"112","Austin Walter (NYJ)","26","101","3.9","14","0","1","3","2","9","4.5","0","0","4","19.0","4.8","0.0%"
"113","J.J. Taylor (NE)","19","37","1.9","15","0","2","4","4","8","2.0","0","1","5","18.5","3.7","1.0%"
"114","Keith Smith (ATL)","9","31","3.4","8","0","0","10","9","56","6.2","0","0","13","17.7","1.4","0.0%"
"115","Patrick Taylor Jr. (GB)","23","89","3.9","12","0","1","2","2","3","1.5","0","0","5","17.2","3.4","0.7%"
"116","Joshua Kelley (LAC)","33","102","3.1","14","0","0","6","5","38","7.6","0","1","8","17.0","2.1","0.0%"
"117","Larry Rountree III (LAC)","36","87","2.4","13","0","1","2","1","-1","-1.0","0","0","10","15.6","1.6","0.0%"
"118","Michael Burton (KC)","8","26","3.3","7","0","1","3","3","31","10.3","0","0","10","14.7","1.5","1.0%"
"119","Wayne Gallman Jr. (MIN)","28","104","3.7","17","0","0","3","1","21","21.0","0","0","9","13.5","1.5","0.0%"
"120","Benny Snell Jr. (PIT)","36","98","2.7","9","0","0","4","2","13","6.5","0","0","16","13.1","0.8","0.0%"
"121","Marlon Mack (IND)","28","101","3.6","22","1","0","5","2","8","4.0","0","0","6","12.9","2.2","0.0%"
"122","Ryquell Armstead (JAC)","15","80","5.3","26","1","0","4","3","16","5.3","0","0","2","12.6","6.3","0.2%"
"123","Andy Janovich (CLE)","2","0","0.0","1","0","1","4","3","9","3.0","0","0","6","11.9","2.0","0.0%"
"124","Rodney Smith (CAR)","0","0","0","0","0","0","5","5","48","9.6","0","0","1","9.8","9.8","0.0%"
"125","Jonathan Ward (ARI)","9","33","3.7","7","0","0","4","3","34","11.3","0","0","9","9.7","1.1","0.0%"
"126","Johnny Stanton IV (CLE)","3","5","1.7","3","0","0","2","2","7","3.5","1","0","3","9.2","3.1","0.0%"
"126","Alex Armah Jr. (WAS)","5","21","4.2","9","0","0","1","1","1","1.0","1","0","10","9.2","0.9","0.0%"
"128","Deon Jackson (IND)","13","31","2.4","10","0","1","0","0","0","0","0","0","5","9.1","1.8","0.0%"
"129","JaQuan Hardy (DAL)","4","29","7.3","22","1","1","0","0","0","0","0","0","2","8.9","4.5","0.0%"
"130","Wendell Smallwood (WAS)","5","25","5.0","13","0","0","5","4","22","5.5","0","0","2","8.7","4.4","0.0%"
"131","Jakob Johnson (NE)","0","0","0","0","0","0","5","4","43","10.8","0","0","7","8.3","1.2","0.0%"
"132","Mike Boone (DEN)","4","35","8.8","16","0","0","2","2","22","11.0","0","0","3","7.7","2.6","1.0%"
"133","Trayveon Williams (CIN)","15","51","3.4","10","0","0","2","1","4","4.0","0","0","4","6.5","1.6","0.0%"
"134","Ito Smith (DAL)","1","4","4.0","4","0","1","0","0","0","0","0","0","1","6.4","6.4","1.0%"
"134","Kalen Ballage (PIT)","12","36","3.0","13","0","0","7","2","8","4.0","0","0","9","6.4","0.7","0.0%"
"136","Reggie Gilliam (BUF)","3","3","1.0","2","0","0","5","3","23","7.7","0","0","8","5.6","0.7","0.2%"
"137","Gabe Nabers (LAC)","3","8","2.7","4","0","0","3","3","17","5.7","0","0","7","5.5","0.8","0.6%"
"138","Jaylen Samuels (HOU)","5","9","1.8","3","0","0","4","3","14","4.7","0","0","3","5.3","1.8","0.0%"
"139","Patrick Laird (MIA)","1","4","4.0","4","0","0","3","3","17","5.7","0","0","3","5.1","1.7","0.0%"
"139","Adam Prentice (NO)","3","5","1.7","2","0","0","3","3","16","5.3","0","0","5","5.1","1.0","0.6%"
"139","Jason Huntley (PHI)","13","51","3.9","18","0","0","1","0","0","0","0","0","1","5.1","5.1","0.0%"
"142","Dwayne Washington (NO)","4","16","4.0","5","0","0","2","2","12","6.0","0","0","8","4.8","0.6","0.0%"
"143","Derek Watt (PIT)","1","1","1.0","1","0","0","3","3","15","5.0","0","0","11","4.6","0.4","0.0%"
"144","Cam Akers (LAR)","5","3","0.6","2","0","0","3","3","10","3.3","0","0","2","4.3","2.2","0.6%"
"145","Scottie Phillips (HOU)","6","13","2.2","4","0","0","3","2","9","4.5","0","0","3","4.2","1.4","0.0%"
"146","Kylin Hill (GB)","10","24","2.4","8","0","0","2","1","5","5.0","0","0","8","3.9","0.5","0.0%"
