"Rank","Player","TGT","TGT %","REC","YDS","Y/R","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"212","River Cracraft (DEN)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"212","Darvin Kidsy (WAS)","0","0","0","0","0","0","0","0","0","0","0","4","0.0","0.0","0.0%"
"212","Derrick Willies (CLE)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"212","Brandon LaFell (OAK)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"212","Jeremy Kerley (BUF)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"212","Doug Baldwin (SEA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"212","Torrey Smith (CAR)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"212","A.J. Green (CIN)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.7%"
"212","Darrius Heyward-Bey (PIT)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"212","Brandon Marshall (SEA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","2.6%"
"212","Brandon Tate (NO)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"212","Pierre Garcon (SF)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"212","Matthew Slater (NE)","0","0","0","0","0","0","0","0","0","0","0","16","0.0","0.0","0.0%"
"212","Mike Wallace (PHI)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"212","James Jones (LAC)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"212","Jordy Nelson (OAK)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"212","Martavis Bryant (OAK)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","1.1%"
"212","Freddie Martino (TB)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"212","Kamar Aiken (PHI)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"212","Deonte Thompson (BUF)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"212","Rod Streater (CLE)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"212","Andre Holmes (DEN)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"212","Brian Quick (WAS)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"212","Jeremy Ross (CIN)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"212","Jordan Matthews (PHI)","12","2","4","33","8.3","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"212","Kelvin Benjamin (KC)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"212","Markus Wheaton (PHI)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"212","Terrance Williams (DAL)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"212","Justin Hunter (PIT)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"291","Michael Walker (JAC)","3","0.6","2","15","7.5","0","0","0","0","0","2","7","-0.5","-0.1","0.0%"
"292","Darrius Shepherd (GB)","2","0.4","1","1","1.0","0","0","0","0","0","1","6","-0.9","-0.2","0.0%"
"293","Quincy Enunwa (NYJ)","3","0.6","1","-4","-4.0","0","0","0","0","0","1","1","-1.4","-1.4","0.0%"
"294","Ray-Ray McCloud III (CAR)","0","0","0","0","0","0","0","0","0","0","1","6","-2.0","-0.3","0.6%"
"294","Greg Dortch (CAR)","0","0","0","0","0","0","0","0","0","0","1","2","-2.0","-1.0","1.5%"
""
""
